,YEAR,CONF,TEAM NO,TEAM,SEED,ROUND,KADJ O,KADJ D,KADJ EM,BADJ O,BADJ D,BADJ EM,EFG%,EFG%D,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%
56,2023,Slnd,955,Texas A&M Corpus Chris,16,64,107.367,107.592,-0.22505,104.4,106.2,-1.8,51.2,52.4,34.4,38.6,18.0,20.9,32.5,72.1,27.9,67.5
57,2023,SWAC,954,Texas Southern,16,68,96.5543,106.264,-9.71,94.8,104.3,-9.5,46.2,49.3,34.9,38.1,20.3,18.5,29.3,72.3,27.7,70.7
58,2023,BW,953,UC Santa Barbara,14,64,111.335,104.693,6.6422,108.7,104.0,4.7,54.2,49.8,34.9,29.2,16.8,18.7,26.6,73.9,26.1,73.4
59,2023,P12,952,UCLA,2,16,114.875,87.2423,27.6323,113.2,87.4,25.8,50.9,46.8,27.1,27.6,15.3,23.6,33.7,72.4,27.6,66.3
60,2023,BSth,951,UNC Asheville,15,64,104.141,102.635,1.50642,101.2,102.4,-1.2,53.9,48.0,41.3,26.8,20.0,17.9,25.8,71.3,28.7,74.2
61,2023,P12,950,USC,10,64,113.122,97.4891,15.6327,110.8,96.4,14.4,51.3,45.2,33.8,29.8,18.1,18.1,29.0,67.0,33.0,71.0
62,2023,MWC,949,Utah St.,10,64,117.762,98.8807,18.8814,115.5,98.0,17.5,55.6,47.8,35.5,30.2,17.4,15.8,27.4,75.2,24.8,72.6
63,2023,A10,948,VCU,12,64,107.195,94.0449,13.1498,104.2,93.1,11.1,52.2,47.0,41.8,30.5,19.5,24.1,29.0,70.2,29.8,71.0
64,2023,AE,947,Vermont,15,64,109.778,104.357,5.42124,107.9,101.2,6.7,54.9,50.7,28.4,26.9,14.2,16.8,19.3,77.5,22.5,80.7
65,2023,ACC,946,Virginia,4,64,111.166,94.7544,16.4114,110.4,93.5,16.9,51.3,48.3,34.5,26.1,13.7,19.7,25.5,75.0,25.0,74.5
66,2023,B12,945,West Virginia,9,64,117.144,97.9996,19.1445,116.1,96.4,19.7,51.7,50.7,39.7,38.4,18.5,20.9,33.7,70.7,29.3,66.3
67,2023,BE,944,Xavier,3,16,119.297,99.604,19.693,118.6,98.4,20.2,55.6,50.4,30.8,27.1,17.5,16.5,31.8,74.6,25.4,68.2
68,2022,MAC,943,Akron,13,64,106.151,102.661,3.48951,104.8,102.7,2.1,52.8,49.3,40.1,26.2,17.7,17.6,29.1,73.7,26.3,70.9
69,2022,SEC,942,Alabama,6,64,116.098,98.7358,17.3625,115.9,98.1,17.8,51.5,49.4,33.6,35.2,19.8,17.7,35.5,69.3,30.7,64.5
70,2022,P12,941,Arizona,1,16,119.64,92.431,27.2089,118.0,92.4,25.6,55.9,44.4,35.1,22.8,18.0,17.7,34.5,71.7,28.3,65.5
71,2022,SEC,940,Arkansas,4,8,111.072,92.0511,19.0214,109.4,92.0,17.4,49.2,47.5,37.9,32.3,17.4,20.6,30.9,74.2,25.8,69.1
72,2022,SEC,939,Auburn,2,32,113.602,89.1491,24.453,112.7,89.6,23.1,50.3,44.1,31.6,34.8,16.7,20.7,33.2,70.7,29.3,66.8
73,2022,B12,938,Baylor,1,32,117.874,91.5538,26.3204,117.5,90.7,26.8,52.9,47.8,28.5,26.9,18.2,22.9,36.3,71.6,28.4,63.7
74,2022,MWC,937,Boise St.,8,64,108.443,92.0306,16.412,106.9,91.9,15.0,51.1,48.2,35.2,25.8,18.5,20.1,30.6,78.1,21.9,69.4
75,2022,NEC,936,Bryant,16,68,104.211,105.162,-0.95048,102.7,104.2,-1.5,49.7,47.4,32.7,24.4,19.1,16.5,33.0,68.4,31.6,67.0
76,2022,BW,935,Cal St. Fullerton,15,64,104.656,102.553,2.10306,102.0,103.2,-1.2,49.2,50.8,35.7,26.1,18.1,20.2,29.0,72.0,28.0,71.0
77,2022,SC,934,Chattanooga,13,64,110.028,98.756,11.2724,108.4,98.5,9.9,52.8,49.6,27.0,27.3,17.0,18.0,32.7,73.7,26.3,67.3
78,2022,Pat,933,Colgate,14,64,108.276,104.059,4.21729,106.4,103.6,2.8,55.9,49.0,26.8,24.3,16.9,16.2,26.5,75.2,24.8,73.5
79,2022,MWC,932,Colorado St.,6,64,114.159,98.3029,15.8566,112.5,98.7,13.8,55.2,49.9,30.4,25.0,15.1,18.4,21.9,75.1,24.9,78.1
80,2022,BE,931,Connecticut,5,64,113.924,94.5963,19.3281,112.6,94.8,17.8,49.6,45.7,30.6,31.9,17.4,18.0,38.0,72.5,27.5,62.0
81,2022,BE,930,Creighton,9,32,105.588,92.1195,13.4685,104.2,92.3,11.9,50.9,44.9,26.0,20.3,20.5,15.5,28.6,71.6,28.4,71.4
82,2022,A10,929,Davidson,10,64,116.781,101.978,14.8028,115.7,101.5,14.2,55.6,49.4,32.9,28.0,14.8,16.9,23.6,77.8,22.2,76.4
83,2022,CAA,928,Delaware,15,64,106.849,104.566,2.283,106.8,103.2,3.6,53.5,49.3,34.6,29.3,18.4,18.5,26.8,68.8,31.2,73.2
84,2022,ACC,927,Duke,2,4,119.363,95.6508,23.7124,120.4,94.4,26.0,55.6,47.0,28.6,18.9,14.9,16.1,31.9,71.5,28.5,68.1
85,2022,SB,926,Georgia St.,16,64,101.532,99.6875,1.84485,100.8,99.4,1.4,45.1,49.7,30.2,32.8,16.9,22.7,32.8,69.3,30.7,67.2
86,2022,WCC,925,Gonzaga,1,16,121.805,88.836,32.9688,120.9,88.5,32.4,59.4,43.2,29.7,22.2,15.9,17.0,29.0,77.0,23.0,71.0
